Spanish,English
el, the(masc singular)
la, the(fem singular)
un, a(masc singular)
una, a(fem singular)
las, plural
el norte,the north
el oeste,the west
el sudeste,the southeast
la lengua, the language
el inglés, English
el árabe, Arabic
el español, Spanish
un gramo, a gram
un litro, a liter
un metre, a meter
el mapa, the map
el problema, the problem
la mano, the hand
Fem endings:, (sión)(ción)(tad)(dad)
la felicidad, the happiness
la ciudad, the city
la actitud, the attitude
la religión , the religion
la natación, swimming
la aversión, aversion
el cuaderno, the notebook
el libro, the book
el gato, the cat
la maleta, the suitcase
el cartero, the mailman
el niño, the child
el hijo, the son
la hija, the daughter
el tío, the uncle
la tía, the aunt
el teatro, the theater
el dormitorio, the bedroom
el perfume, the perfume
el estante, the shelf
el maquillaje, the makeup
el ají, the chilli pepper
el árbol, the tree
el rumor, the rumour
el cojín, the cushion
el programa, the program
el drama, the drama
el idioma, the language
la sal, the salt
la miel, the honey
la virago, the tomboy
la noche, the night
la suerte, the luck
la sangre, the blood
la piel, the skin
la rosa, the rose
la guitarra, the guitar
la piscina, the pool
la paz, the peace
la nariz, the nose
la virtud, the virtue
la irritación, the irritation
el huésped, the guest
el arroz, the rice
el pez, the fish
el esquema, the diagram
el descuento, the discount
las rebajas, the sales
el recibo, the receipt
la cantidad, the quantity
una caja, a box
un trozo, a slice/piece
un kilo, a kilogram
el español, Spanish
el alemán, German
el francés, French
las ciencias, science
el césped, the lawn
la gimnasia, gymnastics
el comercio, business studies
la química, chemistry
la biología, biology
la física, physics
el equipage, the luggage
el lugar, the place
el sitio, the place
el folleto, the leaflet
el regreso, the return
disponible, available
el guía, the guide
la guía, the guidebook
el dolor, the pain
el cuerpo, the body
el cerebro, the brain
el hígado, the liver
el corazón, the heart
el aparcamiento, the parking
la comisaría, the police station
las afueras, the outskirts
el museo, the museum
la mezquita, the mosque
el mercado, the market
el parque, the park
la fábrica, the factory
la ducha, the shower
la pared, the wall
el sótano, the basement
el comedor, the dining room
los muebles, the furniture